Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
ACS44716.1	FJ854362.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHV80711.1	KJ174469.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
CAA40897.1	X57730.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA82255.1	U36276.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ABI20482.1	DQ839391.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ACR57831.1	GQ150744.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ABY55281.1	EU339233.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AAX46054.1	AY943084.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ADO00942.1	GU060319.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ADB54781.1	GU295656.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
WP_071846200.1	NG_052167.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAO04716.1	AE015929.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA85213.1	U43152.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
EOD99669.1	AIIS01000002.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AAD01868.1	AF028812.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
BAE15963.1	AB205645.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ABO40886.1	CP000602.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CBL80435.1	FN812951.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAA76196.1	Y16410.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AJO16043.1	KP050490.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CDL68900.1	HG798963.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76108.1	KM087855.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76107.1	KM087854.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76106.1	KM087853.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76105.1	KM087852.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76103.1	KM087850.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76094.1	KM087841.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76102.1	KM087849.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAG36927.1	AF259520.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76101.1	KM087848.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76100.1	KM087847.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76109.1	KM087856.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_063860108.1	NG_049069.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_063860114.1	NG_049070.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_077767294.1	NG_052903.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_109545068.1	NG_057482.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_109545067.1	NG_057481.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_128268236.1	NG_063839.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_148044412.1	NG_065868.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAR87489.1	AY494945.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_032097955.1	NG_049072.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AEL22919.1	JF273491.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ADT91161.1	HQ322612.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ADQ00385.1	HQ456945.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AHL39320.1	KJ207201.1	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
WP_122630829.1	NG_062233.1	DHT2 beta-lactamase	carbapenem	antibiotic inactivation
AGC92784.1	KC004136.2	DIM beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation
NP_418157.1	NC_000913.3	DnaA chromosomal replication initiation protein	rifamycin antibiotic	antibiotic target protection
WP_122630825.1	NG_062208.1	EAM beta-lactamase	carbapenem	antibiotic inactivation
AGQ48857.1	KF010779.1	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	pleuromutilin antibiotic	antibiotic target protection
AAN32638.1	AF416700.1	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ALG03771.1	KR131616.1	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
WP_150823468.1	NG_066507.1	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
WP_114999921.1	NG_073461.1	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
WP_063860228.1	NG_049079.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860233.1	NG_049080.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063610930.1	NG_049081.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860248.1	NG_049082.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860256.1	NG_049083.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860263.1	NG_049084.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001443153.1	NG_049085.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860454.1	NG_049086.1	EC beta-lactamase	cephalosporin	antibiotic inactivation
WP_122630824.1	NG_062207.1	ECM beta-lactamase	carbapenem	antibiotic inactivation
WP_015266427.1	NG_059320.1	ECV beta-lactamase	carbapenem	antibiotic inactivation
AHH86051.1	KC771276.1	Edeine acetyltransferase	peptide antibiotic;polyamine antibiotic	antibiotic inactivation
WP_122630822.1	NG_062204.1	EFM beta-lactamase	carbapenem	antibiotic inactivation
BAG75524.1	AB467372.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic	antibiotic efflux
CCP45647.1	AL123456.3	major facilitator superfamily (MFS) antibiotic efflux pump	isoniazid-like antibiotic;rifamycin antibiotic	antibiotic efflux
WP_104671188.1	NZ_PTWF01000025.1	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux
CDO61516.1	HG970103.1	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux
WP_081853183.1	NG_062206.1	ELM beta-lactamase	carbapenem	antibiotic inactivation
BAC11911.1	AB091338.1	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics	antibiotic efflux
BAA16547.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AAC75733.1	U00096.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
EFF04178.1	GG749185.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;phenicol antibiotic	antibiotic efflux
BAA11236.1	D78168.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAC75731.1	U00096.3	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
BAA11237.1	D78168.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAL02176.1	AF403298.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic;orthosomycin antibiotic	antibiotic target alteration
ABG77965.1	DQ679966.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
AFK13827.1	JQ727667.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
CAA63498.2	X92945.2	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
AEA93051.1	CP002621.1	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
AAO81566.1	AE016830.1	daptomycin resistant drmA	peptide antibiotic	antibiotic target alteration
AAO81656.1	AE016830.1	daptomycin resistant gdpD	peptide antibiotic	antibiotic target alteration
AMR95642.1	CP014949.1	daptomycin resistant gshF	peptide antibiotic	antibiotic target alteration
AAO82601.1	AE016830.1	daptomycin resistant liaF	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AAO82599.1	AE016830.1	daptomycin resistant liaR	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AAO82600.1	AE016830.1	daptomycin resistant liaS	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AAO81526.1	AE016830.1	daptomycin resistant YvlB	peptide antibiotic	antibiotic target alteration
AAO79895.1	AE016830.1	daptomycin resistant YybT	peptide antibiotic	antibiotic target alteration
AAO52851.1	AF507977.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ALL09868.1	CP013009.1	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
AFK57679.1	CP003583.1	elfamycin resistant EF-Tu	N/A	antibiotic target alteration
CUX99269.1	LN999844.1	daptomycin resistant liaF	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AFK58562.1	CP003583.1	daptomycin resistant liaR	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AFK58561.1	CP003583.1	daptomycin resistant liaS	peptide antibiotic	antibiotic efflux;antibiotic target alteration
BAE78116.1	AP009048.1	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
CCI79240.1	FO203501.1	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAO38247.1	AY183453.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation
AAC78336.1	AF099140.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation
CAA27626.1	X03988.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation
AKO71461.1	KP265721.1	macrolide esterase	macrolide antibiotic	antibiotic inactivation
AAC69328.1	AF079138.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC69327.1	AF079138.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAB37345.2	AJ009971.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAC86410.1	AJ313523.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAP74657.1	AY234334.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAK07612.2	AF319779.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAL68827.1	AF462611.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CCP44758.1	AL123456.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAN86837.2	AY154657.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAR92235.1	AY487229.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAS76623.1	AY570506.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
ABW06859.1	EU177504.3	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CBY77552.1	FR734406.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CCF55073.1	HE650138.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CDL65151.1	HG796218.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CEJ95855.1	LN680996.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AJF36617.1	KM679362.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
ANZ79476.1	KU612222.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CZT31773.1	LT223129.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
OPG86592.1	MWVR01000009.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
BBJ25230.1	LC473083.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
QKE44141.1	MN928789.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
QQM99828.1	MW269959.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA26964.1	X03216.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAF86219.1	AF242872.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA98296.1	M12730.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA22597.1	L08389.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CAB60001.1	X51891.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA88675.1	M17124.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC37034.1	L42817.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC32026.1	M16503.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
WP_010896559.1	NG_047831.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA66307.2	X97721.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA26779.1	M74717.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA11706.1	AJ223970.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC36915.1	L22689.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAU93796.1	AY623658.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA26742.1	M19269.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA98096.1	M64090.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA44667.1	X62867.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAB51440.1	U59450.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
BAA03402.1	D14532.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA98484.1	M36726.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration
